class_id,class_name,n_test_instances,mAP50,mAP50_95
0,Недостаток P2O5,,0.5893614345210659,0.2811301933971475
1,Листовая (бурая) ржавчина,,0.7325297679844615,0.41918734387335277
2,Мучнистая роса,,0.3610483380231436,0.207538730043921
3,Пиренофороз,,0.2785877707603396,0.13482886771165234
4,Фузариоз,,0.95,0.5674285800954476
5,Корневая гниль,,0.95,0.5694298390356767
6,Септориоз,,0.4689557366720955,0.3103670808124816
7,Недостаток N,,0.46838531949704665,0.22066809396018733
8,Повреждение заморозками,,0.27644921242277887,0.14333441443987313
