class_id,class_name,n_test_instances,mAP50,mAP50_95
0,Недостаток P2O5,403,0.0,0.1653
1,Листовая (бурая) ржавчина,226,0.0,0.3543
2,Мучнистая роса,197,0.0,0.2169
3,Пиренофороз,194,0.0,0.18569999999999998
4,Фузариоз,133,0.0,0.52425
5,Корневая гниль,96,0.0,0.3447
6,Септориоз,89,0.0,0.48419999999999996
7,Недостаток N,66,0.0,0.2064
8,Повреждение заморозками,70,0.0,0.20804999999999998
