class_id,class_name,n_test_instances,mAP50,mAP50_95
0,Недостаток P2O5,403,0.0,0.16665000000000002
1,Листовая (бурая) ржавчина,226,0.0,0.3843
2,Мучнистая роса,197,0.0,0.23205
3,Пиренофороз,194,0.0,0.14475
4,Фузариоз,133,0.0,0.5227499999999999
5,Корневая гниль,96,0.0,0.44595
6,Септориоз,89,0.0,0.44475
7,Недостаток N,66,0.0,0.16155
8,Повреждение заморозками,70,0.0,0.16035
