class_id,class_name,mAP@50
0,Недостаток P2O5,0.16316629946231842
1,Листовая (бурая) ржавчина,0.25722071528434753
2,Мучнистая роса,0.13128934800624847
3,Пиренофороз,0.11569497734308243
4,Фузариоз,0.3641720712184906
5,Корневая гниль,0.3782781958580017
6,Септориоз,0.33314111828804016
7,Недостаток N,0.15202495455741882
8,Повреждение заморозками,0.12659509479999542
