epoch,train_loss,val_loss
1,281.99250523588984,311.1404539516994
2,273.94695502936884,390.8747762952532
3,42.71388266836797,19.07246332509177
4,30.365425645382683,17.91743129491806
5,27.966617893452316,16.646198553698405
6,26.810229761774433,17.26934869800295
7,26.048082504890907,16.531423355851853
8,25.446526412851423,16.05448774780546
9,24.964570313933674,15.770523956843785
10,24.410168218366696,16.148404751505172
11,23.924761762316823,15.954616955348424
12,23.426102760528586,16.34432656424386
13,22.96106484046998,23.75045383828027
14,22.52553688223606,15.341543189116887
15,22.12118477213444,40.700031416756765
16,21.657062449697722,22.709938100406102
17,21.230370699349095,23.92036293234144
18,20.76462533004862,42.794861742428374
19,20.39270311326074,36.34158049310957
20,19.88268450172666,45.27299060140337
