class_id,class_name,n_test_instances,mAP50,mAP50_95
0,Недостаток P2O5,,0.6451709714556592,0.29350201728176506
1,Листовая (бурая) ржавчина,,0.8113526486918364,0.4900315541653938
2,Мучнистая роса,,0.5136215663453605,0.3047688096945637
3,Пиренофороз,,0.4673898892896997,0.25972646388299997
4,Фузариоз,,0.95,0.6144550024301668
5,Корневая гниль,,0.9346886934346768,0.4899667442397459
6,Септориоз,,0.6810190946481005,0.5030835277126414
7,Недостаток N,,0.5229257230404409,0.3127803527607937
8,Повреждение заморозками,,0.4293128945612374,0.2741209836876345
