class_id,class_name,n_test_instances,mAP50,mAP50_95
0,Недостаток P2O5,,0.6231838042744889,0.2866543891411334
1,Листовая (бурая) ржавчина,,0.7985025264990366,0.5049439854255708
2,Мучнистая роса,,0.46648283931890727,0.28846311391301255
3,Пиренофороз,,0.43981335795056786,0.2199228645574463
4,Фузариоз,,0.95,0.7261202592054158
5,Корневая гниль,,0.769626806705087,0.4412633847103666
6,Септориоз,,0.6926820590895568,0.5780282212228596
7,Недостаток N,,0.5671089386354462,0.2915011673155285
8,Повреждение заморозками,,0.508741821741334,0.28877365833893376
