variant,n_train,mAP50,mAP5095,precision,recall,fps,epochs
baseline,3109,0.617,0.33,0.77,0.658,19.95,32
aug_geom,9323,0.64,0.353,0.81,0.69,20.66,32
aug_oversample,10405,0.645,0.358,0.815,0.694,19.36,34
aug_diffusion,10855,0.651,0.365,0.82,0.7,20.36,98
