class_id,class_name,n_test_instances,mAP50,mAP50_95
0,Недостаток P2O5,,0.628030164876961,0.2885870081400207
1,Листовая (бурая) ржавчина,,0.8110727522898412,0.5070728880625051
2,Мучнистая роса,,0.5436279348507458,0.31704148971798973
3,Пиренофороз,,0.49500069091677634,0.24114104366164937
4,Фузариоз,,0.95,0.6431056606462983
5,Корневая гниль,,0.9288779519043819,0.5360682931903724
6,Септориоз,,0.7444980826247569,0.5907006256384607
7,Недостаток N,,0.4341183886802982,0.22501665995720865
8,Повреждение заморозками,,0.547776936105054,0.33645639754679485
