class_id,class_name,n_test_instances,mAP50,mAP50_95
0,Недостаток P2O5,,0.5306339202751507,0.26966607425252126
1,Листовая (бурая) ржавчина,,0.8142207426668725,0.5411110333766199
2,Мучнистая роса,,0.6317181632874246,0.3890768606486506
3,Пиренофороз,,0.4632921187856423,0.2741447070420288
4,Фузариоз,,0.95,0.6466208053412716
5,Корневая гниль,,0.95,0.5780770641083119
6,Септориоз,,0.7635220393874835,0.6214405493738745
7,Недостаток N,,0.40125711328186586,0.2231065154112515
8,Повреждение заморозками,,0.6293407615472578,0.36049650896581353
