class_id,class_name,n_test_instances,mAP50,mAP50_95
0,Недостаток P2O5,403,0.0,0.14805
1,Листовая (бурая) ржавчина,226,0.0,0.34095
2,Мучнистая роса,197,0.0,0.18255
3,Пиренофороз,194,0.0,0.15285
4,Фузариоз,133,0.0,0.45885
5,Корневая гниль,96,0.0,0.39194999999999997
6,Септориоз,89,0.0,0.32685000000000003
7,Недостаток N,66,0.0,0.26145
8,Повреждение заморозками,70,0.0,0.19905
