variant,n_train,mAP50,mAP5095,precision,recall,fps,epochs
baseline,3109,0.48705,0.2744999999999999,0.5094000000000001,0.6275999999999999,57.33,34
aug_geom,9323,0.5412,0.29025,0.3171,0.8298000000000001,30.61,19
aug_oversample,10405,0.55155,0.3006,0.4011,0.7665,30.32,19
aug_diffusion,10855,0.558,0.29832921589688505,0.37339849624060156,0.7656766917293234,30.74,19
