epoch,train_loss,val_loss,val_precision,val_recall,val_mAP50,val_mAP5095,lr,time_sec
74,1.30994,6.81066,0.51412,0.33487,0.37143,0.22646,0.002773,12052.1
75,1.31488,6.81975,0.51315,0.33183,0.37026,0.22451,0.002674,12227.7
76,1.29789,6.836539999999999,0.50528,0.33585,0.3699,0.22444,0.002575,12400.7
77,1.26631,6.8441600000000005,0.50323,0.33194,0.36934,0.22521,0.002476,12574.0
78,1.26774,6.8445,0.50678,0.33328,0.37083,0.22753,0.002377,12748.8
79,1.25732,6.84952,0.50825,0.33152,0.36989,0.22745,0.002278,12923.8
80,1.23339,6.85596,0.50461,0.33457,0.37133,0.22788,0.002179,13098.7
81,1.22992,6.85649,0.50032,0.33391,0.37191,0.22862,0.00208,13274.9
82,1.21194,6.86018,0.50108,0.33294,0.3725,0.22961,0.001981,13447.8
83,1.21058,6.8598,0.4997,0.33441,0.37305,0.23108,0.001882,13615.4
84,1.20492,6.86376,0.49837,0.3343,0.37282,0.23101,0.001783,13777.7
85,1.20039,6.86501,0.49878,0.33551,0.37278,0.23037,0.001684,13944.3
86,1.17411,6.86239,0.50079,0.33509,0.3726,0.23011,0.001585,14114.7
87,1.16096,6.86957,0.50349,0.33508,0.3723,0.22947,0.001486,14284.7
88,1.15034,6.87357,0.50406,0.33372,0.37239,0.2297,0.001387,14454.8
89,1.14234,6.88118,0.50537,0.33404,0.37265,0.23017,0.001288,14622.5
90,1.13771,6.884399999999999,0.50221,0.33155,0.37153,0.22994,0.001189,14784.1
91,1.12683,6.887589999999999,0.50675,0.33391,0.37218,0.22927,0.00109,14947.5
92,1.12068,6.88888,0.50418,0.33195,0.37104,0.22925,0.000991,15113.7
93,1.11668,6.88823,0.5032,0.33003,0.37074,0.22948,0.000892,15281.2
94,1.09981,6.8915500000000005,0.50563,0.33028,0.37101,0.22957,0.000793,15439.5
95,1.08033,6.890840000000001,0.5141,0.32827,0.37161,0.22958,0.000694,15599.7
96,1.09124,6.88893,0.50959,0.32807,0.37194,0.23004,0.000595,15760.4
97,1.07137,6.88508,0.50857,0.32982,0.37299,0.23049,0.000496,15921.0
98,1.05733,6.88899,0.50769,0.3295,0.37262,0.23045,0.000397,16087.1
