class_id,class_name,n_test_instances,mAP50,mAP50_95
0,Недостаток P2O5,,0.5313857943057342,0.27004817368192585
1,Листовая (бурая) ржавчина,,0.815374440928861,0.5418777528005254
2,Мучнистая роса,,0.6326132671687924,0.3896281574584568
3,Пиренофороз,,0.4639485738281474,0.2745331524051521
4,Фузариоз,,0.95,0.647537025304969
5,Корневая гниль,,0.95,0.578896162012859
6,Септориоз,,0.7646039008578092,0.6223210905393987
7,Недостаток N,,0.4018256687238306,0.22342264294962053
8,Повреждение заморозками,,0.6302324968037406,0.36100730926117885
