config,mAP@50,mAP@50-95,Precision,Recall,Epochs,FPS,Params_M,GFLOPs
yolov12_cgfm,0.628,0.3326089562177459,0.8288303645746629,0.6728322512624161,15.0,,20.144,67.774
yolov12_cgfm_abl_p5only,0.65,0.3557751444780234,0.8171093791421452,0.660338794337522,14.0,,20.144,67.774
yolov12_cgfm_abl_p3only,0.625,0.3362537845296466,0.8051503094606544,0.6605846261018675,18.0,,20.144,67.774
yolov12_cgfm_abl_effb0,0.63,0.3336682204095222,0.8314699517229898,0.6749750291326785,15.0,,20.144,67.774
yolov12_cgfm_abl_vittiny,0.622,0.3294311636424171,0.8209116031296819,0.6664039176516287,15.0,,20.144,67.774
