config,mAP@50,mAP@50-95,Precision,Recall,Epochs,FPS,Params_M,GFLOPs,ΔmAP@50
yolov12_baseline,0.62,0.3334050865024316,0.8058731297669349,0.6280735602859495,18.0,20.358446360386818,20.144,67.774,0.0
yolov12_se_neck,0.615,0.3257237389712002,0.8116730481105376,0.65890419510571,15.0,,20.144,67.774,-0.0050000000000000044
yolov12_cbam_neck,0.624,0.3307358866504317,0.8510236882886871,0.6494359087890192,19.0,,20.144,67.774,0.0040000000000000036
yolov12_late_fusion,0.56,0.3615307508682059,,,,,,,-0.05999999999999994
yolov12_cgfm,0.628,0.3326089562177459,0.8288303645746629,0.6728322512624161,15.0,,20.144,67.774,0.008000000000000007
yolov12_late_fusion,0.56,0.3615307508682059,,,,,,,-0.05999999999999994
